id,id_productor,familiar_modif,sexo,edad,trabajo_modif,estudio_modif,ayuda_modif,migracion_modif,ganado_modif,created_at,updated_at,est_i
741,241,PADRE,HOMBRE,54,CAMPESINO,NO ESTUDIA,SI,SI,BOVINOS Y OVINOS-CAPRINOS,05/07/2018 12:09,8/28/2017 5:24,1
742,241,MADRE,MUJER,46,AMA DE CASA,NO ESTUDIA,SI,SI,BOVINOS Y OVINOS-CAPRINOS,05/07/2018 12:09,8/28/2017 5:27,1
743,241,HIJO(A),HOMBRE,21,CAMPESINO,NO ESTUDIA,SI,SI,NO POSEE GANADO,05/07/2018 12:09,8/28/2017 5:28,1
744,242,PADRE,HOMBRE,63,CAMPESINO,NO ESTUDIA,SI,SI,OVINOS-CAPRINOS,05/07/2018 12:09,8/29/2017 2:58,1
745,242,HIJO(A),HOMBRE,25,AMA DE CASA,NO ESTUDIA,SI,NO,NO POSEE GANADO,05/07/2018 12:09,8/29/2017 3:00,1
746,242,HIJO(A),MUJER,23,AMA DE CASA,NO ESTUDIA,SI,NO,NO POSEE GANADO,05/07/2018 12:09,8/29/2017 3:01,1
747,243,PADRE,HOMBRE,58,CAMPESINO,NO ESTUDIA,SI,NO,AVES DE CORRAL Y PORCINOS,05/07/2018 12:09,8/29/2017 5:09,1
748,243,MADRE,MUJER,49,AMA DE CASA,NO ESTUDIA,SI,NO,AVES DE CORRAL Y PORCINOS,05/07/2018 12:09,8/29/2017 5:11,1
749,243,HIJO(A),MUJER,30,AMA DE CASA,NO ESTUDIA,SI,NO,NO POSEE GANADO,05/07/2018 12:09,8/29/2017 5:12,1
750,243,HIJO(A),MUJER,28,OTROS,NO ESTUDIA,NO,SI,NO POSEE GANADO,05/07/2018 12:09,8/29/2017 5:13,1
794,259,PADRE,HOMBRE,60,ALBAÑIL,NO ESTUDIA,AVECES,0,OVINOS-CAPRINOS Y EQUINOS,05/07/2018 12:09,9/13/2017 21:22,1
795,259,MADRE,MUJER,54,AMA DE CASA,NO ESTUDIA,AVECES,0,0,05/07/2018 12:09,9/13/2017 21:23,1
796,259,HIJO(A),MUJER,22,ESTUDIANTE,NO ESTUDIA,AVECES,0,0,05/07/2018 12:09,9/13/2017 21:24,1
797,259,HIJO(A),HOMBRE,18,ESTUDIANTE,NO ESTUDIA,AVECES,0,0,05/07/2018 12:09,9/13/2017 21:24,1
798,260,PADRE,HOMBRE,75,CAMPESINO,NO ESTUDIA,AVECES,0,AVES DE CORRAL Y OVINOS-CAPRINOS,05/07/2018 12:09,9/13/2017 22:38,1
799,260,MADRE,MUJER,56,AMA DE CASA,NO ESTUDIA,AVECES,0,0,05/07/2018 12:09,9/13/2017 22:38,1
800,260,HIJO(A),HOMBRE,30,ALBAÑIL,NO ESTUDIA,AVECES,0,0,05/07/2018 12:09,9/13/2017 22:39,1
801,260,HIJO(A),MUJER,30,AMA DE CASA,NO ESTUDIA,AVECES,0,0,05/07/2018 12:09,9/13/2017 22:39,1
802,261,PADRE,HOMBRE,49,ALBAÑIL,NO ESTUDIA,AVECES,0,0,05/07/2018 12:09,9/14/2017 3:17,1
803,261,MADRE,MUJER,39,AMA DE CASA,NO ESTUDIA,AVECES,0,0,05/07/2018 12:09,9/14/2017 3:17,1
