id,id_productor,compra_venta,articulos,TIPO ARTICULO,nombre_esp,nombre_len,lugar_obtencion,lugar_modif,frecuencia,frecuencia_modif,comentarios,created_at,updated_at,Freq_anual
606,65,COMPRA,SEMILLAS ,Non,FRIJOL ,PITSAJ ETL ,,,CADA 2 MESES,CADA 2 MESES,ELLOS CULTIVAN FRIJOL DE ESA MANERA SE APOYAN Y NO CCOMPRAN CONSTANTEMENTE,03/05/2018 14:42,27/07/2017 12:04,0.016438
607,65,COMPRA,CARNE,Non,CARNE DE POLLO ,PIYO NAKATL,,,CADA 2 MESES,CADA 2 MESES,,03/05/2018 14:42,27/07/2017 12:06,0.016438
620,66,COMPRA,CARNE,Non,CARNE DE POLLO ,PIYO NAKATL,,,CADA 2 MESES ,CADA 2 MESES,,03/05/2018 14:42,27/07/2017 15:00,0.016438
632,67,COMPRA,SEMILLAS ,Non,AJONJOLÍ ,AJOLE,,,CADA 2 MESES ,CADA 2 MESES,,03/05/2018 14:42,27/07/2017 16:42,0.016438
633,67,COMPRA,SEMILLAS ,Non,CACAHUATE ,KAKAHUATL,,,CADA 2 MESES,CADA 2 MESES,,03/05/2018 14:42,27/07/2017 16:43,0.016438
636,67,COMPRA,CARNE,Non,CARNE DE POLLO ,PIYO NAKATL,,,CADA 2 MESES,CADA 2 MESES,,03/05/2018 14:42,27/07/2017 16:45,0.016438
637,68,COMPRA,PLANTAS Y FRUTOS,Non,HIERBABUENA,AJLOHUENO ,,,CADA 2 MESES,CADA 2 MESES,,03/05/2018 14:42,27/07/2017 17:22,0.016438
638,68,COMPRA,PLANTAS Y FRUTOS,Non,EPAZOTE ,APASOTL ,,,CADA 2 MESES,CADA 2 MESES,,03/05/2018 14:42,27/07/2017 17:22,0.016438
640,68,COMPRA,SEMILLAS ,Non,AJONJOLÍ ,AJOLE,,,CADA 2 MESES,CADA 2 MESES,,03/05/2018 14:42,27/07/2017 17:24,0.016438
645,68,COMPRA,ALIMENTOS PREPARADOS ,Non,LONGANIZA ,LONGANIZA,,,CADA 2 MESES,CADA 2 MESES,,03/05/2018 14:42,27/07/2017 17:29,0.016438
657,69,COMPRA,SEMILLAS ,Non,AJONJOLÍ ,AJOLE,,,CADA 2 MESES ,CADA 2 MESES,,03/05/2018 14:42,27/07/2017 18:29,0.016438
